,metatag,tag,0
0,majorish,major,89
1,woodwinds,flute,56
2,metallic_percussion,glockenspiel,47
3,metallic_percussion,sleigh_bells,42
4,plucked_strings,harp,41
5,bass,electric_bass,36
6,plucked_strings,pizz_strings,32
7,metallic_percussion,chimes,30
8,vocals,treble_vocals,28
9,metallic_percussion,tambourine,26
10,brass,horn,26
11,minorish,minor,25
12,minorish,aeolian,25
13,bass,synth_bass,23
14,metallic_percussion,cymbals,23
15,woodwinds,clarinet,20
16,woodwinds,oboe,19
17,vocals,other_vocals,19
18,auxiliary_percussion,shaker,17
19,plucked_strings,acoustic_guitar,16
20,drums,snare,15
21,metallic_percussion,vibraphone,15
22,synth,synth_lead,14
23,metallic_percussion,wind_chimes,14
24,metallic_percussion,celesta,14
25,minorish,dorian,13
26,metallic_percussion,triangle,13
27,woodwinds,pan_flute,13
28,drums,hand_drums,12
29,metallic_percussion,crotales,12
30,bass,acoustic_bass,11
31,brass,trumpet,10
32,synth,synth,9
33,drums,timpani,8
34,plucked_strings,harpsichord,8
35,synth,synth_pad,6
36,brass,brass,6
37,synth,synth_brass,6
38,woodwinds,saxophone,6
39,auxiliary_percussion,castanets,5
40,synth,square_wave,5
41,synth,synth_arp,5
42,drums,bass_drum,5
43,auxiliary_percussion,woodblock,5
44,majorish,lydian,4
45,drums,tom_toms,4
46,synth,analog_synth,4
47,woodwinds,pennywhistle,4
48,woodwinds,piccolo,4
49,woodwinds,bassoon,3
50,plucked_strings,mandolin,3
51,majorish,mixolydian,3
52,synth,sine_wave,2
53,plucked_strings,sitar,2
54,woodwinds,calliope,2
55,metallic_percussion,kalimba,2
56,metallic_percussion,toy_piano,2
57,auxiliary_percussion,guiro,2
58,metallic_percussion,gong,2
59,metallic_percussion,agogo_bells,2
60,drums,handclaps,2
61,minorish,phrygian,2
62,drums,gated_snare,2
63,brass,trombone,2
64,synth,FM,1
65,brass,tuba,1
66,woodwinds,recorder,1
67,auxiliary_percussion,maracas,1
68,bass,slap_bass,1
69,brass,horn_section,1
70,woodwinds,English_horn,1
71,drums,distorted_drums,1
72,drums,field_drum,1
73,metallic_percussion,cowbell,1
74,metallic_percussion,gamelan,1
75,metallic_percussion,handbells,1
76,metallic_percussion,hi-hat,1
77,auxiliary_percussion,claves,1
78,woodwinds,shakuhachi,1
