,value
high_reverb,133
4,117
arpeggiated,100
major:majorish,89
strings,83
drumset,75
no_drums,63
flute:woodwinds,56
piano,52
glockenspiel:metallic_percussion,47
sleigh_bells:metallic_percussion,42
rock,42
harp:plucked_strings,41
electric_bass:bass,36
pizz_strings:plucked_strings,32
electric_piano,30
chimes:metallic_percussion,30
low_reverb,30
treble_vocals:vocals,28
horn:brass,26
tambourine:metallic_percussion,26
minor:minorish,25
aeolian:minorish,25
cymbals:metallic_percussion,23
synth_bass:bass,23
electric_guitar,22
clarinet:woodwinds,20
xylophone,20
3,20
other_vocals:vocals,19
Christmas,19
oboe:woodwinds,19
marimba,17
shaker:auxiliary_percussion,17
orchestra,17
acoustic_guitar:plucked_strings,16
glockenflute,16
lament,15
electric_organ,15
vibraphone:metallic_percussion,15
snare:drums,15
accordion,14
wind_chimes:metallic_percussion,14
celesta:metallic_percussion,14
synth_lead:synth,14
12,13
dorian:minorish,13
triangle:metallic_percussion,13
pan_flute:woodwinds,13
hand_drums:drums,12
crotales:metallic_percussion,12
80s,11
violin,11
acoustic_bass:bass,11
trumpet:brass,10
no_bass,10
military,10
synth:synth,9
harpsichord:plucked_strings,8
sweeps,8
chiptune,8
timpani:drums,8
EDM,7
light_drums,7
6,7
minor_iv,6
train,6
synth_brass:synth,6
brass:brass,6
synth_pad:synth,6
chromatic_mediants,6
saxophone:woodwinds,6
synth_arp:synth,5
woodblock:auxiliary_percussion,5
bass_drum:drums,5
wind_effect,5
square_wave:synth,5
castanets:auxiliary_percussion,5
2,5
piccolo:woodwinds,4
analog_synth:synth,4
pennywhistle:woodwinds,4
lydian:majorish,4
tom_toms:drums,4
shuffle,4
bassoon:woodwinds,3
mixolydian:majorish,3
mandolin:plucked_strings,3
organ,3
breakbeat,3
detuned,3
no_tonality,3
toy_piano:metallic_percussion,2
guiro:auxiliary_percussion,2
kalimba:metallic_percussion,2
handclaps:drums,2
trombone:brass,2
offbeat_8ths,2
sitar:plucked_strings,2
agogo_bells:metallic_percussion,2
gated_snare:drums,2
sine_wave:synth,2
calliope:woodwinds,2
boogie-woogie,2
waltz,2
gong:metallic_percussion,2
phrygian:minorish,2
polka,2
Latin_jazz,2
5,1
whistle,1
funk,1
recorder:woodwinds,1
static,1
field_drum:drums,1
claves:auxiliary_percussion,1
samba,1
distorted_drums:drums,1
shakuhachi:woodwinds,1
Steely_Dan,1
whistle_tone,1
half-time,1
tuba:brass,1
bluesy,1
falling_fifths,1
English_horn:woodwinds,1
FM:synth,1
disco,1
jig,1
clavinet,1
hi-hat:metallic_percussion,1
7,1
gamelan:metallic_percussion,1
cowbell:metallic_percussion,1
bagpipes,1
techno,1
horn_section:brass,1
jazz_orchestra,1
aeolian,1
jazz_waltz,1
slap_bass:bass,1
jazz,1
handbells:metallic_percussion,1
son,1
maracas:auxiliary_percussion,1
walking_bass,1
