rank,,value
1,high_reverb,112
2,4,92
3,arpeggiated,82
4,strings,72
5,majorish:major,65
6,drumset,59
7,no_drums,48
8,woodwinds:flute,46
9,piano,45
10,synth:other_synth,41
11,plucked_strings:harp,35
12,rock,34
13,metallic_percussion:glockenspiel,32
14,bass:electric_bass,29
15,plucked_strings:pizz_strings,29
16,drums:other_drums,28
17,metallic_percussion:chimes,27
18,metallic_percussion:sleigh_bells,24
19,woodwinds:other_woodwinds,23
20,minorish:aeolian,23
21,minorish:minor,23
22,vocals:treble_vocals,22
23,metallic_percussion:tambourine,22
24,metallic_percussion:cymbals,21
25,brass:horn,21
26,electric_piano,20
27,electric_guitar,19
28,woodwinds:oboe,18
29,Christmas,17
30,low_reverb,17
31,3,16
32,bass:synth_bass,16
33,orchestra,15
34,vocals:other_vocals,15
35,woodwinds:clarinet,15
36,metallic_percussion:other_metallic_percussion,15
37,brass:other_brass,14
38,auxiliary_percussion:shaker,14
39,plucked_strings:acoustic_guitar,14
40,lament,14
41,metallic_percussion:wind_chimes,13
42,xylophone,13
43,electric_organ,12
44,glockenflute,12
45,marimba,11
46,metallic_percussion:vibraphone,11
47,minorish:dorian,11
48,drums:snare,11
49,metallic_percussion:triangle,11
50,metallic_percussion:celesta,11
51,military,10
52,auxiliary_percussion:other_auxiliary_percussion,10
53,accordion,9
54,12,9
55,bass:other_bass,9
56,80s,8
57,plucked_strings:other_plucked_strings,8
58,chiptune,7
59,6,7
60,no_bass,7
61,minor_iv,6
62,chromatic_mediants,6
63,majorish:other_majorish,6
64,light_drums,6
65,train,5
66,sweeps,5
67,violin,5
68,EDM,5
69,2,4
70,wind_effect,4
71,shuffle,4
72,detuned,3
73,breakbeat,3
74,polka,2
75,boogie-woogie,2
76,waltz,2
77,minorish:other_minorish,2
78,funk,1
79,whistle_tone,1
80,whistle,1
81,static,1
82,organ,1
83,disco,1
84,5,1
85,aeolian,1
86,7,1
87,Latin_jazz,1
88,bluesy,1
