,value
high_reverb,133
4,117
arpeggiated,100
majorish:major,89
strings,83
drumset,75
no_drums,63
woodwinds:flute,56
piano,52
metallic_percussion:glockenspiel,47
metallic_percussion:sleigh_bells,42
rock,42
plucked_strings:harp,41
synth:other_synth,38
bass:electric_bass,36
plucked_strings:pizz_strings,32
electric_piano,30
metallic_percussion:chimes,30
low_reverb,30
vocals:treble_vocals,28
metallic_percussion:tambourine,26
brass:horn,26
minorish:aeolian,25
minorish:minor,25
drums:other_drums,23
metallic_percussion:cymbals,23
bass:synth_bass,23
electric_guitar,22
woodwinds:other_woodwinds,22
xylophone,20
woodwinds:clarinet,20
3,20
Christmas,19
vocals:other_vocals,19
woodwinds:oboe,19
marimba,17
auxiliary_percussion:shaker,17
orchestra,17
plucked_strings:acoustic_guitar,16
glockenflute,16
electric_organ,15
lament,15
metallic_percussion:vibraphone,15
drums:snare,15
metallic_percussion:celesta,14
accordion,14
metallic_percussion:wind_chimes,14
auxiliary_percussion:other_auxiliary_percussion,14
synth:synth_lead,14
metallic_percussion:triangle,13
12,13
woodwinds:pan_flute,13
minorish:dorian,13
plucked_strings:other_plucked_strings,13
metallic_percussion:crotales,12
metallic_percussion:other_metallic_percussion,12
drums:hand_drums,12
violin,11
bass:acoustic_bass,11
80s,11
brass:other_brass,10
no_bass,10
military,10
brass:trumpet,10
sweeps,8
chiptune,8
majorish:other_majorish,7
light_drums,7
6,7
EDM,7
chromatic_mediants,6
train,6
minor_iv,6
wind_effect,5
2,5
shuffle,4
detuned,3
breakbeat,3
organ,3
no_tonality,3
polka,2
boogie-woogie,2
Latin_jazz,2
waltz,2
offbeat_8ths,2
minorish:other_minorish,2
samba,1
aeolian,1
Steely_Dan,1
whistle_tone,1
half-time,1
static,1
bluesy,1
jazz_orchestra,1
falling_fifths,1
son,1
whistle,1
clavinet,1
bagpipes,1
disco,1
funk,1
jazz_waltz,1
jig,1
techno,1
7,1
5,1
jazz,1
bass:other_bass,1
walking_bass,1
