no,link,Game,Track title,Franchise,Year,Platform,Company,number of tags,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag 16,tag 17,tag 18,tag 19,tag 20,tag 21,tag 22,tag 23,tag 24,tag 25,tag 26,tag 27,tag 28,tag 29,tag 30
1,link,Final Fantasy Tactics,"""Under the Stars""",Final Fantasy,1997,PlayStation:Sony,Square Enix,12,4,dorian:minorish,arpeggiated,high reverb,no_drums,piano,strings,horn:brass,wind_chimes:metallic_percussion,chimes:metallic_percussion,harp:plucked_strings,strings,,,,,,,,,,,,,,,,,,,,,,,
2,link,Persona 3,"""Memories of the City""",Persona,2006,PlayStation 2:Sony,Atlus,9,4,minor:minorish,--,high reverb,rock,piano,strings,electric_guitar,drumset:drums,,,,,,,,,,,,,,,,,,,,,,,,,,
3,link,Romancing SaGa 3,"""Boundaries""",SaGa,1995,SNES:Nintendo,Square Enix,10,4,minor:minorish,--,high reverb,--,treble_vocals:vocals,flute:woodwinds,tom_toms:drums,celesta:metallic_percussion,bass_drum:drums,,,,,,,,,,,,,,,,,,,,,,,,,
4,link,Unlimited Saga,"""Theme for Laura""",SaGa,2002,PlayStation 2:Sony,Square Enix,12,3,minor:minorish,arpeggiated,high reverb,--,flute:woodwinds,piano,strings,celesta:metallic_percussion,chimes:metallic_percussion,harp:plucked_strings,orchestra,,,,,,,,,,,,,,,,,,,,,,,
5,link,PoPoLoCRoIS Monogatari,"""Northern World""",Popolocrois,1996,PlayStation:Sony,epics,8,4,major:majorish,--,high reverb,--,wind_chimes:metallic_percussion,synth_brass:synth,,other_vocals:vocals,,,,,,,,,,,,,,,,,,,,,,,,,,
6,link,Tales of Graces,"""To a Sea of Dancing Snow""",Tales,2009,Nintendo Wii:Nintendo,Namco,10,4,minor:minorish,--,high reverb,rock,oboe:woodwinds,cymbals:metallic_percussion,electric_piano,acoustic_bass:bass,celesta:metallic_percussion,,,,,,,,,,,,,,,,,,,,,,,,,
7,link,Seiya Monogatari: Anearth Fantasy Stories,"""Forest""",Anearth Fantasy Stories,1995,computer:computer,Hudson,19,4,major:majorish,--,high reverb,rock,piano,chimes:metallic_percussion,oboe:woodwinds,strings,horn:brass,harp:plucked_strings,flute:woodwinds,orchestra,electric_piano,pizz_strings:plucked_strings,bluesy,extended_tertian,Christmas,glockenflute,,,,,,,,,,,,,,,,
8,link,Napple Tale,"""Snowball""",n/a,2000,Sega Dreamcast:Sega,Chime,15,2,lydian:majorish,arpeggiated,high reverb,train,strings,glockenspiel:metallic_percussion,piano,electric_guitar,handbells:metallic_percussion,rapid_notes,flute:woodwinds,oboe:woodwinds,sleigh_bells:metallic_percussion,triangle:metallic_percussion,,,,,,,,,,,,,,,,,,,,
9,link,SaGa Frontier 2,"""Naturvolk""",SaGa,1999,PlayStation:Sony,Square Enix,13,4,lydian:majorish,arpeggiated,high reverb,--,piano,pizz_strings:plucked_strings,oboe:woodwinds,strings,shaker:auxiliary_percussion,cymbals:metallic_percussion,celesta:metallic_percussion,hand_drums:drums,,,,,,,,,,,,,,,,,,,,,,
10,link,Bravely Default,"""Land of Immortality""",Bravely,2014,Nintendo 3DS:Nintendo,Square Enix,12,4,minor:minorish,arpeggiated,high reverb,rock,sleigh_bells:metallic_percussion,piano,glockenspiel:metallic_percussion,acoustic_guitar:plucked_strings,wind_chimes:metallic_percussion,treble_vocals:vocals,pennywhistle:woodwinds,,,,,,,,,,,,,,,,,,,,,,,
11,link,Metroid Prime,"""Ice Valley (Phendrana Drifts)""",Metroid,2002,Nintendo GameCube:Nintendo,Nintendo,13,4,aeolian:minorish,arpeggiated,high reverb,techno,synth:synth,piano,treble_vocals:vocals,sweeps,other_vocals:vocals,harp:plucked_strings,rapid_notes,tambourine:metallic_percussion,,,,,,,,,,,,,,,,,,,,,,
12,link,Xenoblade Chronicles,"""Snowy Mt. Valac (Night)""",Xenoblade Chronicles,2010,Nintendo Wii:Nintendo,Monolith Soft,10,4,aeolian:minorish,arpeggiated,high reverb,rock,piano,cymbals:metallic_percussion,no_bass,other_vocals:vocals,chromatic_mediants,,,,,,,,,,,,,,,,,,,,,,,,,
13,link,Pokémon X/Y,"""Snowbelle City""",Pokémon,2013,Nintendo 3DS:Nintendo,Game Freak,16,12,minor:minorish,arpeggiated,high reverb,military,lament,glockenspiel:metallic_percussion,strings,piano,horn:brass,sleigh_bells:metallic_percussion,flute:woodwinds,snare:drums,cymbals:metallic_percussion,orchestra,castanets:auxiliary_percussion,,,,,,,,,,,,,,,,,,,
14,link,Final Fantasy XIII,"""Lake Bresha""",Final Fantasy,2009,multiplatform:multiplatform,Square Enix,14,2,dorian:minorish,arpeggiated,high reverb,military,chimes:metallic_percussion,strings,piano,violin,xylophone,orchestra,glockenspiel:metallic_percussion,rapid_notes,wind_chimes:metallic_percussion,,,,,,,,,,,,,,,,,,,,,
15,link,Kingdom Hearts II,"""The Home of Dragons""",Kingdom Hearts,2005,PlayStation 2:Sony,Square Enix,11,12,aeolian:minorish,arpeggiated,high reverb,military,tambourine:metallic_percussion,oboe:woodwinds,gong:metallic_percussion,violin,xylophone,harp:plucked_strings,,,,,,,,,,,,,,,,,,,,,,,,
16,link,Zwei: The Ilvard Insurrection,"""Edge of Stars""",Zwei,2008,computer:computer,Falcom,18,3,minor:minorish,--,low reverb,--,oboe:woodwinds,flute:woodwinds,sleigh_bells:metallic_percussion,marimba,strings,accordion,chimes:metallic_percussion,triangle:metallic_percussion,sitar:plucked_strings,shaker:auxiliary_percussion,bass_drum:drums,cymbals:metallic_percussion,hand_drums:drums,,,,,,,,,,,,,,,,,
17,link,The Legend of Heroes: Trails of Cold Steel II,"""Wintry Arrival""",The Legend of Heroes,2014,PlayStation 3:Sony,Falcom,14,4,minor:minorish,arpeggiated,high reverb,military,oboe:woodwinds,strings,shaker:auxiliary_percussion,piano,treble_vocals:vocals,flute:woodwinds,kalimba:metallic_percussion,tambourine:metallic_percussion,snare:drums,,,,,,,,,,,,,,,,,,,,,
18,link,Final Fantasy X,"""People of the North Pole""",Final Fantasy,2001,PlayStation 2:Sony,Square Enix,11,4,aeolian:minorish,--,high reverb,--,violin,tom_toms:drums,strings,marimba,piano,no_bass,,,,,,,,,,,,,,,,,,,,,,,,
19,link,Final Fantasy X-2,"""Mt. Gagazet""",Final Fantasy,2003,PlayStation 2:Sony,Square Enix,12,4,aeolian:minorish,--,high reverb,--,strings,gong:metallic_percussion,,accordion,cymbals:metallic_percussion,horn:brass,flute:woodwinds,hand_drums:drums,,,,,,,,,,,,,,,,,,,,,,
20,link,Odin Sphere,"""Battle on the Snowy Mountain""",n/a,2007,PlayStation 2:Sony,Atlus,12,12,dorian:minorish,--,high reverb,military,cymbals:metallic_percussion,snare:drums,horn:brass,triangle:metallic_percussion,strings,orchestra,trumpet,,,,,,,,,,,,,,,,,,,,,,,
21,link,Kantai Collection,"""Winter Fleet""",n/a,2013,computer:computer,Kadokawa Games,18,12,major:majorish,arpeggiated,high reverb,military,orchestra,oboe:woodwinds,glockenspiel:metallic_percussion,flute:woodwinds,sleigh_bells:metallic_percussion,harp:plucked_strings,trumpet:brass,wind_chimes:metallic_percussion,cymbals:metallic_percussion,Christmas,snare:drums,pizz_strings:plucked_strings,piccolo:woodwinds,,,,,,,,,,,,,,,,,
22,link,Sonic the Hedgehog 3,"""Ice Cap Zone""",Sonic,1994,Sega Genesis:Sega,Sega,9,4,aeolian:minorish,arpeggiated,high reverb,rock,synth:synth,flute:woodwinds,80s,synth_bass:bass,,,,,,,,,,,,,,,,,,,,,,,,,,
23,link,Donkey Kong Country 2,"""In a Snow-Bound Land""",Donkey Kong,1995,SNES:Nintendo,Rare,16,4,major:majorish,arpeggiated,high reverb,rock,gated_snare:drums,80s,drumset:drums,treble_vocals:vocals,electric_bass:bass,glockenspiel:metallic_percussion,pizz_strings:plucked_strings,strings,tambourine:metallic_percussion,marimba,sweeps,,,,,,,,,,,,,,,,,,,
24,link,Final Fantasy VII,"""Buried in the Snow""",Final Fantasy,1997,PlayStation:Sony,Square Enix,9,3,major:majorish,arpeggiated,high reverb,no_drums,vibraphone:metallic_percussion,pizz_strings:plucked_strings,acoustic_bass:bass,strings,,,,,,,,,,,,,,,,,,,,,,,,,,
25,link,Stardew Valley,"""Marimba of Frozen Bones""",n/a,2016,multiplatform:multiplatform,Chucklefish,14,4,aeolian:minorish,arpeggiated,high reverb,rock,acoustic_bass:bass,marimba,synth_bass:bass,80s,shaker:auxiliary_percussion,wind_effect,drumset:drums,square_wave:synth,woodblock:auxiliary_percussion,,,,,,,,,,,,,,,,,,,,,
26,,Celeste,"""My Dearest Friends""",n/a,2018,multiplatform:multiplatform,Extremely OK Games,9,4,major:majorish,arpeggiated,high reverb,no_drums,piano,extended_tertian,sine_wave:synth,lament,,,,,,,,,,,,,,,,,,,,,,,,,,
27,link,Animal Crossing: New Horizons,"""Toy Day""",Animal Crossing,2020,Nintendo Switch:Nintendo,Nintendo,15,4,major:majorish,arpeggiated,high reverb,no_drums,sleigh_bells:metallic_percussion,trumpet:brass,celesta:metallic_percussion,acoustic_guitar:plucked_strings,trombone:brass,electric_piano,accordion,Christmas,vibraphone:metallic_percussion,glockenspiel:metallic_percussion,,,,,,,,,,,,,,,,,,,,
