,index,to_count
80,auxiliary_percussion:castanets,1
68,auxiliary_percussion:claves,1
53,auxiliary_percussion:guiro,2
77,auxiliary_percussion:maracas,1
26,auxiliary_percussion:shaker,11
46,auxiliary_percussion:woodblock,3
28,bass:acoustic_bass,9
9,bass:electric_bass,26
66,bass:slap_bass,1
16,bass:synth_bass,19
33,brass:brass,7
12,brass:horn,23
72,brass:horn_section,1
55,brass:trombone,2
34,brass:trumpet,7
65,brass:tuba,1
41,drums:bass_drum,5
67,drums:distorted_drums,1
2,drums:drumset,45
69,drums:field_drum,1
62,drums:gated_snare,2
30,drums:hand_drums,9
51,drums:handclaps,2
29,drums:snare,9
39,drums:timpani,5
59,drums:tom_toms,2
44,majorish:lydian,4
0,majorish:major,86
48,majorish:mixolydian,3
56,metallic_percussion:agogo_bells,2
22,metallic_percussion:celesta,13
6,metallic_percussion:chimes,31
63,metallic_percussion:cowbell,1
23,metallic_percussion:crotales,13
21,metallic_percussion:cymbals,13
75,metallic_percussion:gamelan,1
3,metallic_percussion:glockenspiel,43
58,metallic_percussion:gong,2
78,metallic_percussion:handbells,1
61,metallic_percussion:hi-hat,2
49,metallic_percussion:kalimba,2
71,metallic_percussion:pianochimes,1
4,metallic_percussion:sleigh_bells,39
15,metallic_percussion:tambourine,19
64,metallic_percussion:toy_piano,1
31,metallic_percussion:triangle,7
25,metallic_percussion:vibraphone,12
19,metallic_percussion:wind_chimes,14
10,minorish:aeolian,25
24,minorish:dorian,12
11,minorish:minor,25
60,minorish:phrygian,2
18,plucked_strings:acoustic_guitar,15
5,plucked_strings:harp,36
36,plucked_strings:harpsichord,6
52,plucked_strings:mandolin,2
7,plucked_strings:pizz_strings,27
50,plucked_strings:sitar,2
76,synth:FM,1
43,synth:analog_synth,4
57,synth:sine_wave,2
40,synth:square_wave,5
32,synth:synth,7
42,synth:synth_arp,4
38,synth:synth_brass,5
17,synth:synth_lead,15
37,synth:synth_pad,6
13,vocals:other_vocals,19
8,vocals:treble_vocals,27
73,woodwinds:English_horn,1
54,woodwinds:bassoon,2
79,woodwinds:calliope,1
20,woodwinds:clarinet,14
1,woodwinds:flute,55
14,woodwinds:oboe,19
27,woodwinds:pan_flute,11
47,woodwinds:pennywhistle,3
45,woodwinds:piccolo,4
70,woodwinds:recorder,1
35,woodwinds:saxophone,6
74,woodwinds:shakuhachi,1
