metatag,other,to_drop,tag
other_auxiliary_percussion:auxiliary_percussion,10,['woodblock' 'castanets' 'guiro' 'maracas'],other_auxiliary_percussion
other_bass:bass,9,['acoustic_bass'],other_bass
other_brass:brass,14,['trumpet' 'brass' 'horn_section' 'trombone' 'tuba'],other_brass
other_drums:drums,28,"['hand_drums' 'timpani' 'bass_drum' 'tom_toms' 'gated_snare'
 'distorted_drums' 'field_drum' 'handclaps']",other_drums
other_majorish:majorish,6,['lydian' 'mixolydian'],other_majorish
other_metallic_percussion:metallic_percussion,15,"['crotales' 'kalimba' 'gong' 'agogo_bells' 'cowbell' 'gamelan' 'handbells'
 'hi-hat' 'toy_piano']",other_metallic_percussion
other_minorish:minorish,2,['phrygian'],other_minorish
other_plucked_strings:plucked_strings,8,['harpsichord' 'sitar' 'mandolin'],other_plucked_strings
other_synth:synth,41,"['synth_lead' 'synth_brass' 'synth_pad' 'synth' 'analog_synth'
 'square_wave' 'synth_arp' 'sine_wave' 'FM']",other_synth
other_woodwinds:woodwinds,23,"['pan_flute' 'saxophone' 'pennywhistle' 'piccolo' 'bassoon' 'recorder'
 'shakuhachi']",other_woodwinds
