tag,metatag
other_auxiliary_percussion,auxiliary_percussion
shaker,auxiliary_percussion
acoustic_bass,bass
electric_bass,bass
other_bass,bass
synth_bass,bass
horn,brass
other_brass,brass
trumpet,brass
hand_drums,drums
other_drums,drums
snare,drums
major,majorish
other_majorish,majorish
celesta,metallic_percussion
chimes,metallic_percussion
crotales,metallic_percussion
cymbals,metallic_percussion
glockenspiel,metallic_percussion
other_metallic_percussion,metallic_percussion
sleigh_bells,metallic_percussion
tambourine,metallic_percussion
triangle,metallic_percussion
vibraphone,metallic_percussion
wind_chimes,metallic_percussion
aeolian,minorish
dorian,minorish
minor,minorish
other_minorish,minorish
acoustic_guitar,plucked_strings
harp,plucked_strings
other_plucked_strings,plucked_strings
pizz_strings,plucked_strings
other_synth,synth
synth_lead,synth
other_vocals,vocals
treble_vocals,vocals
clarinet,woodwinds
flute,woodwinds
oboe,woodwinds
other_woodwinds,woodwinds
pan_flute,woodwinds
12,
2,
3,
4,
5,
6,
7,
80s,
Christmas,
EDM,
Latin_jazz,
Steely_Dan,
accordion,
arpeggiated,
bagpipes,
bluesy,
boogie-woogie,
breakbeat,
chiptune,
chromatic_mediants,
clavinet,
detuned,
disco,
drumset,
electric_guitar,
electric_organ,
electric_piano,
falling_fifths,
funk,
glockenflute,
half-time,
high_reverb,
jazz,
jazz_orchestra,
jazz_waltz,
jig,
lament,
light_drums,
low_reverb,
marimba,
military,
minor_iv,
no_bass,
no_drums,
no_tonality,
offbeat_8ths,
orchestra,
organ,
piano,
polka,
rock,
samba,
shuffle,
son,
static,
strings,
sweeps,
techno,
train,
violin,
walking_bass,
waltz,
whistle,
whistle_tone,
wind_effect,
xylophone,
